book_id,title,author,edition,pub_year,,
83,ARM system developers guide,"Andrew N Sloss, Dominic Symes, Chris Wright",,2008,,
84,Microcontroller (ARM) and Embedded System,Raghunandan.G.H,,2019,,
85,Insider’s Guide to the ARM7 based microcontrollers,Hitex Ltd.,1,2005,,
86,Graph theory with the applications to engineering & Computer Science,Narsingh Deo,,2016,,
87,Graph theory with Applications,"J.A. Bondy, U.S.R. Murty",1,2008,,
88, Introduction to Graph Theory,"Garry Chartand, Ping Zhang",,2006,,
89,Graph Theory,Frank Harary,,,,
90,Graph Theory,R. Diestel,,2016,,
91,Introduction to Graph Theory,Douglas B. West,,2001,,
92,Introduction to Graph Theory,Robin J. Wilson,,2010,,
93,Linear Algebra and its applications,"David C. Lay, Steven R. Lay, Judi J Mc. Donald",6,2021,,
94,Linear Algebra and its applications,Gilbert Strang,4,2005,,
95,Linear Algebra: An Introduction,"Richard Bronson, Gabriel B. Costa",2,2014,,
96,Theory and problems of linear algebra,"Seymour Lipschutz, Marc Lipso",6,2017,,
97,Green Information Technology – A Sustainable Approach,"Mohammad Dastbaz Colin Pattinson, Babak Akhgar",,2015,,
98,Harnessing Green IT:  Principles  and Practices,"San Murugesan, G. R. Gangadharan",,,,
99,The Art of Capacity Planning,John Allspaw,,2008,,
100, The UX Book-Process and Guidelines for Ensuring a Quality User Experience,"Rex Hartson, Pardha S. Pyla",,2012,,
101,A Short Introduction to LaTeX,Firuza Karmali,,2019,,
102,Formatting Information: A Beginner's Introduction to Typesetting with LaTeX,Peter Flynn,,2005,,
103,Business Communication,"Vikram Bisen, Priya",,2009,,
104,Essentials of Business Communication (11 E),"Mary Ellen Guffey, Dana Loewy",,2019,,
105,Business Communication Today,"Courtland L. Bovée, John V. Thill",14,2018,,
106,Basic Financial Management,"Khan M Y., Jain P K.",3,2012,,
107,Financial Management—Theory and Practice,Chandra P.,10,2019,,
108,Taxmann's Fundamentals of Financial Management-With Excel Applications,Rustagi R P.,15,2020,,
109,Principles and Practice of Management,Prasad L.M.,10,2020,,
110,Organizational Behaviour,"Stephen P. Robbins, Timothy A. Judge, Neharika Vohra",18,2018,,
111,Essentials of Management,"Harold Koontz, Heinz Weihrich",11,2021,,
112,Principles and Practices of Management and Organisational Behaviour,"Chandrani Singh, Aditi Khatri",,2016,,
113,Principles of Management,Ramesh B. Rudani,2,2019,,
114,Fundamentals of Management,Stephen P. Robbins,9,2016,,
115,Management: Principles and Practices,Griffin,,2013,,
116,The new era of management ,R. L. Daft ,10,2013,,
117,Organizational Behavior: An Evidence Based Approach,"F. Luthans, B. Luthans, K. Luthans",13,2015,,
118,Understanding Organizational Behavior,U. Pareek,3,2011,,
119,The Analysis of Time Series: An Introduction,Chris Chatfield,6,2003,,
120,Hands-on Programming with R,Garett Grolemund,1,2014,,
121,Applied Multivariate data analysis,Jobson J Dave,,2012,,
122,An Introduction to Multivariate Statistical Analysis,Anderson T W,3,2009,,
123,Programming Python,Mark Lutz,4,2012,,
124,Principles of Marketing,"P. Kotler, G. Armstrong",16,2016,,
125,Marketing Research,"D. A. Aaker, R. P. Leon, G. S. Day",11,2013,,
126,Java: The Complete Reference,"Herbert Schildt, Dr. Danny Coward",13,,,
127,Java EE 5,"Ivan Bayross, Vaishali Shah, Sharanam Shah, Cynthia Bayross",2,,,
128,Unix Concepts and Applications,Sumitabha Das,,,,
129,Advanced Programming in the UNIX Environment,W. Richard Stevens,2,2005,,
130,Unix System Programming Using C++,Terrence Chan,,1999,,
131,UNIX & Shell Programming,M.G. Venkatesh Murthy,,,,
132,Linux Command Line and Shell Scripting Bible,"Richard Blum, Christine Brenham",2,2014,,
133,Fundamentals of Web Development,"Randy Connolly, Ricardo Hoar",3,2021,,
134,Programming the World Wide Web,Robert W Sebesta,8,2020,,
